cuisine,id,salt,onions,olive_oil,water,garlic,sugar,garlic_cloves,butter,ground_black_pepper,all-purpose_flour,pepper,vegetable_oil,eggs,soy_sauce,kosher_salt,green_onions,tomatoes,large_eggs,carrots,unsalted_butter
greek,10259.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
southern_us,25693.0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
filipino,20130.0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
indian,22213.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
indian,13162.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
jamaican,6602.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
spanish,42779.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
italian,3735.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mexican,16903.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
italian,12734.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
italian,5875.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chinese,45887.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,2698.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,41995.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
italian,31908.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
indian,24717.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
british,34466.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,1420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thai,2941.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vietnamese,8152.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
thai,13121.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,40523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
southern_us,40989.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
chinese,29630.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
italian,49136.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinese,26705.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cajun_creole,27976.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,22087.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
chinese,9197.0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
